1)#sigma_{SD} Kaidalov, Poghosyan #ksi<0.05 (!)
#Source: [tmp1](a)Kaidalov, Poghosyan, 0909.5156v1,"Description of soft diffraction in the framework of reggeon calculus. Predictions for LHC"
#% Figure 6: Integrated single-diffractive cross-section as a function of s.
% √s                       cs(SD)
 101.872366454492    5.51468773142434
 168.494644918546    6.06270056776105
 278.686422572790    6.65020982473463
 459.340717680042    7.28708960750432
 755.347905342943    7.95852875833128
 1237.79447479298    8.67933843495433
 2021.34049364849    9.43964453221427
 3281.80512981450    10.2591952604295
 5315.92754998331    11.1034312515428
 8600.85829738066    11.9575413478154
 13835.2467251968    12.8758331276228

2)#sigma_{SD} Kaidalov, Poghosyan #ksi<0.15 (!)
#Source: [tmp1](a)Kaidalov, Poghosyan, 0909.5156v1,"Description of soft diffraction in the framework of reggeon calculus. Predictions for LHC"
#% Figure 6: Integrated single-diffractive cross-section as a function of s.
% √s                       cs(SD)
 202.838341245205    8.37817822759812
 335.101393351568    8.98543569489015
 534.683370097757    9.64206368797828
 894.667438448135    10.4468032584547
 1450.87975221200    11.2861021969884
 2344.71809171920    12.1550234509998
 3771.68791512902    13.0683781782276
 6025.03699654301    14.0409775364108
 9613.46968466792    15.0333251049124
 14508.7975221200    15.9269316218218
