23.366   6.386  0.429  
27.323   6.168  0.421  
32.354   6.379  0.617  
35.406   7.351  0.971  
38.416   7.208  0.896  
44.678   7.163  0.519  
53.491   6.840  0.445  
62.380   7.412  0.602  
%UA5
200      4.8    0.94   
%UA5 (??)... 
546      5.571  1.31   
%UA4
546      9.261  0.573  
899.86   7.944  1.77   
949.82   9.977  1.981  
1801.3   9.391  1.378  
2763.3  13.465  4.036  
7021.3  16.780  3.901  
