# W        Sigma     sig_err
 425.978   134.922   72.3868
 482.697   237.591   54.9218
 546.967   314.985   55.1123
 619.795   275.943   42.9929
 702.319   395.03    56.5283
 795.832   371.837   57.1618
 901.796   457.682   65.2710
 1021.87   462.944   78.8554
 1157.93   519.461   107.752
 1312.11   509.341   204.583
 
