1)#d2sigma/dtdM2_{SD}(s)
# SD(s)
#X:M^{2} [GeV^{2}]    
#Y:#d2sigma/dtdM2 [mb/GeV^{4}]
% M2      cs    dcs  -dcs   +dcs
 1.450   3.2947  0   0.1679 0.1990
 1.547   3.1454  0   0.1430 0.1492
 1.640   3.7671  0   0.1368 0.1368
 1.736   5.0170  0   0.2363 0.2425
 1.853   4.6997  0   0.1430 0.1493
 1.918   4.8800  0   0.1368 0.1617
 2.048   4.7307  0   0.3171 0.3047
 2.138   4.4197  0   0.1865 0.2052
 2.252   3.7667  0   0.1430 0.1244
 2.334   3.2008  0   0.1244 0.1492
 2.450   3.0950  0   0.1181 0.1306
 2.532   2.7343  0   0.1119 0.1368
 2.618   2.8773  0   0.1555 0.1492
 2.748   2.7591  0   0.1803 0.1741
 2.844   2.6471  0   0.1057 0.1368
 2.954   2.6035  0   0.1616 0.1741
 3.030   2.0376  0   0.0870 0.0995
 3.112   1.8697  0   0.1057 0.1057
 3.200   1.9008  0   0.1431 0.1430
 3.336   1.4716  0   0.1057 0.1182
 3.460   1.2913  0   0.0995 0.1181
 3.659   1.2912  0   0.1617 0.1741
 3.730   1.3720  0   0.1119 0.1555
 3.873   1.3720  0   0.1057 0.1119
 3.980   1.2849  0   0.0995 0.1057
 4.354   1.4526  0   0.0000 0.0000
 5.485   1.0046  0   0.0000 0.0000
 6.545   0.8116  0   0.0000 0.0000
 7.557   0.6808  0   0.0000 0.0000
 8.443   0.6372  0   0.0000 0.0000
 9.534   0.5251  0   0.0000 0.0000
10.950   0.4752  0   0.0000 0.0000
12.930   0.3754  0   0.0000 0.0000
14.850   0.3255  0   0.0000 0.0000
17.060   0.3253  0   0.0000 0.0000
19.380   0.2754  0   0.0000 0.0000
21.900   0.2380  0   0.0000 0.0000
26.160   0.2128  0   0.0000 0.0000
 0.000   0.0000  0   0.0000 0.0000
