1)#sigma|_{#xi<0.05}
# SD, CDF
#X:#sqrt{s} [GeV]      
#Y:#sigma|_{#xi<0.05} [mb]
200     4.8    0.0  0.94 
546     5.57   0.0  1.31 
546     9.4    0.0  0.7  
950     9.99   0.0  2.0  
2763.3  13.465 0.0  4.0  
7000    16.780 0.0  3.9  

2)#sigma|_{M^{2}<200}
# SD, CDF
#X:#sqrt{s} [GeV]      
#Y:#sigma|_{M^{2}<200} [mb]
950    9.99   2.0  2.0
2763  11.69   3.5 3.5
7000  13.99   3.0 3.0
